"","ID","left_","top_","right_","bottom","elev","aspect","UTMx","UTMy","slope","IMI","HLI","elev1","x","y"
"3711",15215,728025.7373,4271019.587,728125.7373,4271119.587,1.22889979327817,168.6973877,728122.473671479,4270768.13030991,-1.10365105092687,43.74375916,0.901908636,1072.906738,-0.424262699999963,-3.43041299999971
"3712",15216,728025.7373,4270919.587,728125.7373,4271019.587,1.0623222295738,182.5502167,728092.580799852,4270821.85810302,-1.04774028919292,38.06624222,0.953002989,1049.487061,-0.424262699999963,-3.53041299999971
"3713",15217,728125.7373,4271019.587,728225.7373,4271119.587,1.22201716436334,205.21875,727871.617288188,4271893.71630424,-0.852657805169231,38.23914337,0.941921115,1071.939087,-0.324262699999963,-3.43041299999971
"3714",15218,728125.7373,4270919.587,728225.7373,4271019.587,1.09224044206899,191.8922424,728199.23313416,4270623.75595249,-0.582338703417767,37.83982086,0.966627598,1053.693359,-0.324262699999963,-3.53041299999971
"3715",15219,728225.7373,4271019.587,728325.7373,4271119.587,1.28881263731327,167.8770447,728436.068442298,4270885.54331516,-1.13545627555948,39.22575378,0.9522295,1081.330078,-0.224262699999963,-3.43041299999971
"3716",15220,728225.7373,4270919.587,728325.7373,4271019.587,1.14818711349889,191.6329041,728456.136467452,4271100.58867906,-0.81154739972521,37.26366043,0.951292276,1061.559082,-0.224262699999963,-3.53041299999971
"3717",15221,728325.7373,4271019.587,728425.7373,4271119.587,1.16267823845007,122.5550919,728562.958553402,4271003.63979551,-0.522457436907985,37.28041077,0.790912271,1063.596436,-0.124262699999963,-3.43041299999971
"3718",15225,728525.7373,4271019.587,728625.7373,4271119.587,0.861952298004888,113.0223465,728574.781182152,4270308.80215417,-1.56168398251983,36.48007584,0.82986784,1021.316406,0.0757373000000371,-3.43041299999971
"3719",15227,728625.7373,4271019.587,728725.7373,4271119.587,0.77574445303185,118.6728363,728485.071516103,4271422.204015,-1.49310779082902,36.6436882,0.759329617,1009.196167,0.175737300000037,-3.43041299999971
"3720",15228,728625.7373,4270919.587,728725.7373,4271019.587,0.782054472565,93.88798523,728599.665912114,4271143.48955813,-1.19650911849259,39.83789444,0.712228537,1010.083313,0.175737300000037,-3.53041299999971
"3721",15229,728725.7373,4271019.587,728825.7373,4271119.587,0.675076307494655,127.1231537,728798.465819249,4269868.73195346,-1.83472623172711,35.86977005,0.771864772,995.0429077,0.275737300000037,-3.43041299999971
"3722",15230,728725.7373,4270919.587,728825.7373,4271019.587,0.668257058589495,98.06678009,729172.095299434,4270968.40086268,-1.35204737774112,36.8562355,0.707719386,994.0841675,0.275737300000037,-3.53041299999971
"3723",15231,728825.7373,4271019.587,728925.7373,4271119.587,0.555149470169669,102.5013504,728611.256622868,4270484.37497067,-0.721795659742236,36.31640625,0.715043128,978.1820068,0.375737300000037,-3.43041299999971
"3724",15232,728825.7373,4270919.587,728925.7373,4271019.587,0.555872724078519,62.35656357,728620.409277622,4271214.55547172,-0.767835369696006,41.80796814,0.707891166,978.2836914,0.375737300000037,-3.53041299999971
"3725",15233,728925.7373,4271019.587,729025.7373,4271119.587,0.439688485997664,129.9570923,729088.411888283,4271959.87986858,-0.695672247612765,33.70741653,0.820098758,961.9489746,0.475737300000037,-3.43041299999971
"3726",15234,728925.7373,4270919.587,729025.7373,4271019.587,0.407701658185622,94.17298126,728908.889565851,4270428.76582119,-0.666435188390932,35.88401794,0.671088457,957.4518433,0.475737300000037,-3.53041299999971
"3727",15235,729025.7373,4271019.587,729125.7373,4271119.587,0.374324324542921,144.442276,729199.173409161,4271754.48804661,-0.81154739972521,35.09897232,0.866086066,952.7592163,0.575737300000037,-3.43041299999971
"3728",15236,729025.7373,4270919.587,729125.7373,4271019.587,0.25249818660235,134.1781769,729228.466388876,4270682.69936577,-0.695672247612765,35.5733757,0.739933014,935.6312866,0.575737300000037,-3.53041299999971
"3729",15237,729125.7373,4271019.587,729225.7373,4271119.587,0.152042328676201,134.8926544,729085.180810687,4271000.84103064,-0.45253197139227,32.91608047,0.809096396,921.5078735,0.675737300000037,-3.43041299999971
"3730",15238,729125.7373,4270919.587,729225.7373,4271019.587,0.0836041222378476,105.6982651,729212.824915375,4271717.94467679,-1.10365105092687,33.14249802,0.712230444,911.8859253,0.675737300000037,-3.53041299999971
"3731",15239,729225.7373,4271019.587,729325.7373,4271119.587,0.0038400059430116,112.7237015,729316.812995497,4270702.19604433,-0.852657805169231,32.15589523,0.76351434,900.6716309,0.775737300000037,-3.43041299999971
"3732",15240,729225.7373,4270919.587,729325.7373,4271019.587,-0.0391189195146131,93.15232849,729388.570736188,4271351.71786112,-0.882279639414808,32.95552826,0.792923927,894.631897,0.775737300000037,-3.53041299999971
"3733",15241,729325.7373,4271019.587,729425.7373,4271119.587,-0.143257466970453,119.5361862,729595.256007486,4270242.28797905,-0.503047201695982,35.64005661,0.812878132,879.9907227,0.875737300000037,-3.43041299999971
"3734",15242,729325.7373,4270919.587,729425.7373,4271019.587,-0.170242297020424,97.75614929,729484.963887985,4270705.58514905,-0.718031763559309,32.14791107,0.775011182,876.1968384,0.875737300000037,-3.53041299999971
"3735",15243,729425.7373,4271019.587,729525.7373,4271119.587,-0.238046679890139,105.1789093,729650.546199562,4270877.42077332,-0.767835369696006,33.51383209,0.693327963,866.6640015,0.975737300000037,-3.43041299999971
"3736",15244,729425.7373,4270919.587,729525.7373,4271019.587,-0.262549178388089,77.97345734,729162.491199998,4270722.85957005,-1.24949151153082,37.47877884,0.717899323,863.2191162,0.975737300000037,-3.53041299999971
"3737",15245,729525.7373,4271019.587,729625.7373,4271119.587,-0.373125812714024,86.8894577,729516.999164438,4271514.00808554,-1.90174180970312,31.82736015,0.763421178,847.6727905,1.07573730000004,-3.43041299999971
"3738",15246,729525.7373,4270919.587,729625.7373,4271019.587,-0.345286188989214,67.00558472,729771.889198167,4271156.84806445,-1.53515268783671,41.01899719,0.70228529,851.586853,1.07573730000004,-3.53041299999971
"3739",15247,729625.7373,4271019.587,729725.7373,4271119.587,-0.45213020890488,77.49130249,729564.426939366,4271115.7891467,-1.60847578187099,41.78480911,0.759288251,836.5653076,1.17573730000004,-3.43041299999971
"3740",15248,729625.7373,4270919.587,729725.7373,4271019.587,-0.415206067101688,32.18021393,729416.338822723,4270599.76567543,-1.35204737774112,41.7912178,0.677773833,841.7565918,1.17573730000004,-3.53041299999971
