"","cincount","shencount","UTMx","UTMy","elev","slope","aspect","IMI","ID","HLI","temp","temp10","ppt","area","year","x","y","asp_rad","north","east","std_HLI","std_IMI","distsk","distrd","disttr"
"4597",1,0,730025.053150657,4276528.33438608,0.477283786027522,1.30465600468831,357.4322205,34.88603973,9772,0.702989101,10.19,15.619,0.205333333333333,64,2009,1.37573730000004,0.969587000000291,6.23836910043937,0.998995921880526,-0.0448012060783897,-0.387385618239509,-1.43161173931243,179.30291830338,179.30291830338,596.908232657314
"4598",0,0,729936.377026711,4276214.13673471,0.163175052837733,0.232205585841799,94.18888092,31.76533699,8568,0.599075139,12.56,16.193,13.8903333333333,64,2009,1.07573730000004,1.76958700000029,1.64390609082287,-0.0730446523587248,0.997328671382606,-0.932474241506737,-1.83889105308822,186.530792698404,186.530792698404,221.051431301726
"4599",0,0,729789.627718415,4274849.78046199,0.942134482807175,0.789091131585327,340.8919983,51.81832123,9773,0.72727406,10.19,15.619,0.205333333333333,64,2009,1.37573730000004,0.869587000000291,5.94968776403791,0.944903204996212,-0.327349863583119,-0.25999701123585,0.778200781946331,79.3917363413158,79.3917363413158,695.145749268611
"4600",0,0,728132.383627438,4275207.43960464,1.02078766790819,1.41973598994975,293.183197,47.51977921,9717,1.01748383,18.64,16.758,0,64,2009,-0.524262699999963,0.769587000000291,5.11701209917316,0.393672339970915,-0.919250830155635,1.262320499745,0.217203022787123,766.00572990355,40.558301058919,135.794871585921
"4601",0,0,727912.641928353,4275300.09416397,1.04536700296744,-0.199046469944609,324.4898987,55.78356171,9718,0.732548118,21.43,17.241,0.122,64,2009,-0.424262699999963,0.969587000000291,5.66341712177787,0.814013127225552,-0.580846476019677,-0.23233153723293,1.29569974169999,838.472358034843,26.5445269716996,21.2459900726915
"4602",5,0,730059.436306787,4274749.74609639,1.10405387754905,0.14080851469414,4.860138893,49.89322662,9774,0.704747736,10.19,15.619,0.205333333333333,64,2009,1.37573730000004,0.769587000000291,0.0848254257870824,0.996404480265305,0.0847237375664366,-0.378160564045352,0.526958905664877,20.5194456812775,20.5194456812775,689.617515618091
"4603",4,0,729828.692721045,4275058.3476104,1.1501320009482,-0.23087908750836,55.50022888,39.61709595,9768,0.525190175,10.19,15.619,0.205333333333333,64,2009,1.17573730000004,0.769587000000291,0.968661729566445,0.566402944775523,0.824128451243868,-1.32004346254085,-0.814167050967558,14.574114280376,14.574114280376,558.511291757639
"4604",1,0,729995.870984895,4274754.87671279,1.08548544377021,-1.34527052467521,83.98403168,38.45274734,10087,0.721802413,10.19,15.619,0.205333333333333,64,2009,1.47573730000004,0.669587000000291,1.46579787191522,0.104805632218083,0.994492724686997,-0.288698953427548,-0.96612484457548,60.0633393793226,60.0633393793226,557.057425835835
"4605",0,0,729838.144522558,4274004.4244338,1.22102127711938,-0.0392459891293679,86.22101593,27.68744278,10407,0.588823617,10.19,15.619,0.205333333333333,64,2009,1.47573730000004,0.269587000000291,1.50484061239298,0.0659079051913046,0.997825710248686,-0.986249383035589,-2.37109232115872,61.9964473744374,61.9964473744374,449.123232468768
"4606",0,0,729844.638602045,4277810.439294,0.442367042509139,-1.1300864650884,131.6685638,46.12114334,7381,0.836956561,10.19,15.619,0.205333333333333,64,2009,1.47573730000004,2.86958700000029,2.29804995968222,-0.66482060016324,0.747003058627332,0.315350923881823,0.0346686692088621,173.680964944229,173.680964944229,30.4134594725289
